Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,timestamp
Brazil,Nova Granada,37,Good,1,Good,9,Good,2,Good,37,Good,-20.5339,-49.3139,2024-03-03 11:00:00
Germany,Oberhausen,42,Good,1,Good,30,Good,2,Good,42,Good,51.4967,6.8706,2024-03-03 12:00:00
United States of America,South Milwaukee,59,Moderate,2,Good,13,Good,25,Good,59,Moderate,42.912,-87.8627,2024-03-03 13:00:00
India,Kannod,150,Unhealthy,1,Good,42,Good,0,Good,150,Unhealthy,22.6676,76.7429,2024-03-03 14:00:00
Austria,Kapfenberg,61,Moderate,1,Good,36,Good,0,Good,61,Moderate,47.4394,15.2894,2024-03-03 15:00:00
Zambia,Kapiri Mposhi,33,Good,1,Good,17,Good,0,Good,33,Good,-13.9772,28.6847,2024-03-03 16:00:00
Bulgaria,Karlovo,66,Moderate,1,Good,41,Good,0,Good,66,Moderate,42.6436,24.8072,2024-03-03 17:00:00
Burundi,Karuzi,45,Good,1,Good,20,Good,0,Good,45,Good,-3.1,30.1667,2024-03-03 18:00:00
Sweden,Katrineholm,31,Good,1,Good,31,Good,0,Good,11,Good,59.0,16.2,2024-03-03 19:00:00
Kazakhstan,Semey,42,Good,1,Good,42,Good,0,Good,15,Good,50.4333,80.2667,2024-03-03 20:00:00
United States of America,Shakopee,55,Moderate,1,Good,33,Good,5,Good,55,Moderate,44.7745,-93.4772,2024-03-03 21:00:00
Brazil,Sarandi,45,Good,1,Good,5,Good,3,Good,45,Good,-27.9439,-52.9228,2024-03-03 22:00:00
Romania,Reghin,45,Good,1,Good,40,Good,0,Good,45,Good,46.7758,24.7083,2024-03-03 23:00:00
Republic of North Macedonia,Resen,80,Moderate,1,Good,45,Good,1,Good,80,Moderate,41.0893,21.0109,2024-03-04 00:00:00
Guatemala,Retalhuleu,100,Unhealthy for Sensitive Groups,3,Good,10,Good,10,Good,100,Unhealthy for Sensitive Groups,14.5333,-91.6833,2024-03-04 01:00:00
South Africa,Robertson,160,Unhealthy,9,Good,5,Good,5,Good,160,Unhealthy,-33.8,19.8833,2024-03-04 02:00:00
Ukraine,Romny,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,50.7428,33.4879,2024-03-04 03:00:00
France,Provins,56,Moderate,1,Good,30,Good,2,Good,56,Moderate,48.5589,3.2994,2024-03-04 04:00:00
Argentina,Punta Alta,20,Good,0,Good,20,Good,0,Good,5,Good,-38.88,-62.075,2024-03-04 05:00:00
Democratic Republic of the Congo,Lubumbashi,71,Moderate,1,Good,25,Good,1,Good,71,Moderate,-11.6647,27.4794,2024-03-04 06:00:00
China,Mabai,70,Moderate,2,Good,70,Moderate,0,Good,60,Moderate,23.0188,104.3929,2024-03-04 07:00:00
